iter	Passed	Remaining
835	16949	3325
836	16972	3305
837	16993	3285
838	17018	3265
839	17041	3246
840	17063	3226
841	17085	3206
842	17107	3186
843	17127	3165
844	17150	3145
845	17172	3125
846	17198	3106
847	17222	3086
848	17245	3067
849	17269	3047
850	17291	3027
851	17313	3007
852	17338	2987
853	17360	2967
854	17381	2947
855	17402	2927
856	17424	2907
857	17445	2887
858	17466	2866
859	17487	2846
860	17509	2826
861	17533	2806
862	17557	2787
863	17580	2767
864	17602	2747
865	17624	2727
866	17645	2706
867	17667	2686
868	17695	2667
869	17718	2647
870	17738	2627
871	17759	2606
872	17779	2586
873	17801	2566
874	17823	2546
875	17846	2526
876	17867	2505
877	17890	2485
878	17913	2465
879	17935	2445
880	17958	2425
881	17979	2405
882	18000	2385
883	18022	2364
884	18044	2344
885	18072	2325
886	18095	2305
887	18117	2285
888	18140	2265
889	18188	2247
890	18214	2228
891	18237	2208
892	18259	2187
893	18281	2167
894	18303	2147
895	18326	2127
896	18349	2107
897	18370	2086
898	18392	2066
899	18415	2046
900	18434	2025
901	18456	2005
902	18478	1984
903	18502	1964
904	18524	1944
905	18547	1924
906	18570	1904
907	18596	1884
908	18620	1864
909	18642	1843
910	18664	1823
911	18690	1803
912	18716	1783
913	18763	1765
914	18820	1748
915	18859	1729
916	18880	1708
917	18894	1687
918	18909	1666
919	18925	1645
920	18939	1624
921	18954	1603
922	18969	1582
923	18983	1561
924	18997	1540
925	19012	1519
926	19026	1498
927	19042	1477
928	19058	1456
929	19073	1435
930	19088	1414
931	19105	1393
932	19120	1373
933	19135	1352
934	19151	1331
935	19165	1310
936	19181	1289
937	19197	1268
938	19212	1248
939	19227	1227
940	19242	1206
941	19258	1185
942	19274	1165
943	19288	1144
944	19304	1123
945	19319	1102
946	19333	1082
947	19350	1061
948	19364	1040
949	19379	1019
950	19396	999
951	19411	978
952	19426	958
953	19441	937
954	19456	916
955	19472	896
956	19488	875
957	19504	855
958	19519	834
959	19534	813
960	19549	793
961	19565	772
962	19581	752
963	19597	731
964	19612	711
965	19627	690
